CPR,Phone_number,Region,Gender
1202566280,94812111,Hovedstaden,F
1511474707,41496897,Midtjylland,M
1210772873,16076019,Syddanmark,M
1407788622,12298670,Midtjylland,F
1906785488,11061329,Midtjylland,F
2701786219,29036075,Midtjylland,M
1508816674,19388349,Nordjylland,F
0705435404,60752434,Nordjylland,F
2201864807,61475162,Hovedstaden,M
1601288964,42831426,Syddanmark,F
1101718869,68280490,Sjælland,M
0512738661,10892199,Midtjylland,M
2709654572,55082855,Sjælland,F
1307823589,97464033,Syddanmark,M
1005482967,98116555,Syddanmark,M
1811513126,80005384,Midtjylland,F
1806023785,25667199,Midtjylland,M
3112608323,80194663,Hovedstaden,M
3009441619,75316924,Hovedstaden,M
1312860627,70457161,Midtjylland,M
2903783103,99377310,Nordjylland,M
2411516992,87833985,Hovedstaden,F
1009685573,98392898,Nordjylland,M
2008742220,57677814,Midtjylland,F
2404558509,57078024,Syddanmark,M
1208515500,29952452,Syddanmark,F
1908925582,32709476,Midtjylland,F
1709980826,11254055,Sjælland,F
2404520139,81565724,Nordjylland,M
0310286867,67297942,Syddanmark,M
2312299432,49818436,Hovedstaden,F
2008532196,55228852,Sjælland,F
1902519652,38270328,Syddanmark,F
1507500499,92570533,Sjælland,M
1903469591,96437976,Syddanmark,M
0307862404,77490313,Nordjylland,F
0212403531,40800901,Syddanmark,M
1711395354,14696527,Midtjylland,F
2002794945,86054337,Sjælland,M
0402520383,91452167,Nordjylland,M
0912451822,96340813,Hovedstaden,F
3112333514,56290959,Hovedstaden,F
0411604611,71372932,Hovedstaden,M
2010982117,94469177,Syddanmark,M
0102017969,19598359,Sjælland,M
2608728514,48947270,Nordjylland,F
0301495702,85147575,Nordjylland,F
0602329724,27973347,Syddanmark,F
0105676874,11930711,Syddanmark,F
0211644207,12981568,Sjælland,M
0902952758,19940729,Nordjylland,F
0911830649,93403146,Syddanmark,M
1009752852,87845756,Nordjylland,F
1212429585,67167888,Nordjylland,M
1908929523,81940785,Hovedstaden,M
1205962414,54402886,Sjælland,F
0911848391,50250687,Hovedstaden,M
0709307592,60259946,Syddanmark,F
1010543621,82547311,Nordjylland,M
2011013575,27824455,Midtjylland,M
2010369158,34710983,Syddanmark,F
0404452767,56609151,Midtjylland,M
2104648310,70017661,Syddanmark,F
1611042856,64656828,Sjælland,F
2211033332,31974487,Nordjylland,F
2701579928,84330737,Hovedstaden,F
2505601405,44700433,Nordjylland,M
0303016405,67064541,Sjælland,M
0308823896,91149052,Nordjylland,F
0409002678,23663546,Sjælland,F
3108989477,74017956,Syddanmark,M
2402607342,68906608,Hovedstaden,F
0611868586,64859717,Syddanmark,F
2408942843,73794254,Sjælland,M
2012425414,38585816,Hovedstaden,F
2908589801,97339079,Nordjylland,M
1908414437,66811347,Sjælland,M
1912413459,30739372,Syddanmark,M
1805014142,78958551,Syddanmark,F
1107330173,59578332,Nordjylland,M
0110948170,17963782,Nordjylland,F
3012551963,14186782,Sjælland,M
2406817917,46275683,Hovedstaden,M
1705549304,45815330,Nordjylland,F
2012385404,31355249,Nordjylland,F
2303663361,91129649,Hovedstaden,M
0104891160,83646998,Sjælland,F
2904356555,69649817,Midtjylland,M
0403893254,22946624,Hovedstaden,F
1006292962,28017798,Syddanmark,F
2104985775,61542597,Midtjylland,M
1802607427,76390189,Midtjylland,M
1910504531,95209479,Nordjylland,M
3001876875,98949937,Sjælland,M
2901315732,55055351,Hovedstaden,F
1403512721,71145100,Hovedstaden,M
1502994868,29463051,Hovedstaden,F
2401754372,15665361,Hovedstaden,F
1104372165,66398455,Hovedstaden,M
1406492758,91208535,Nordjylland,F
2212697150,38623379,Nordjylland,F
2403937705,75345275,Nordjylland,M
1706615805,60999800,Sjælland,M
2701024791,99381135,Hovedstaden,M
3110645175,75193331,Nordjylland,M
1606897710,88434384,Nordjylland,F
0810436823,98551016,Hovedstaden,M
1303767814,41828952,Midtjylland,F
1402847408,28746610,Sjælland,F
1806733394,42241195,Syddanmark,F
2608361624,10086259,Hovedstaden,F
0112628304,51473068,Nordjylland,F
1403507279,73511501,Nordjylland,M
3108802906,97288863,Sjælland,F
1208451141,85036794,Hovedstaden,M
0306746563,12596943,Sjælland,M
2901968159,46625981,Syddanmark,M
2612494479,66509679,Hovedstaden,M
2209330792,60500982,Syddanmark,F
0201309186,61044821,Hovedstaden,F
