CPR,Phone_number,Region,Gender
2507914688,99467818,Sjælland,F
1911911710,97690835,Hovedstaden,F
2709875824,59950159,Midtjylland,F
3011724843,39358562,Syddanmark,M
2209740775,91302432,Hovedstaden,M
2903016810,93200110,Sjælland,F
3003750955,23325169,Hovedstaden,M
2405595550,98084905,Midtjylland,F
1804661647,11692545,Midtjylland,M
1205468650,43042741,Sjælland,F
2602893356,37830018,Sjælland,F
1701442899,86107461,Hovedstaden,M
1411882413,65992488,Syddanmark,M
0211557700,51304591,Midtjylland,F
1312465914,70271198,Sjælland,F
2003407454,42217457,Hovedstaden,F
2207499456,78679891,Hovedstaden,F
1009327340,44096281,Sjælland,F
2211828129,77658039,Sjælland,M
0309354566,82181866,Syddanmark,F
0508362931,61608084,Syddanmark,M
0112371512,51520345,Nordjylland,F
0706911410,90804050,Midtjylland,F
0205512308,38375359,Syddanmark,F
1004897888,57860051,Midtjylland,F
0307851543,46318125,Hovedstaden,M
2302413926,72358835,Nordjylland,F
1106419319,71658648,Nordjylland,M
1010300218,41708010,Syddanmark,F
2807702734,58872240,Sjælland,F
2101301267,76435848,Hovedstaden,M
0909399228,17674974,Nordjylland,F
1609489101,39296493,Midtjylland,M
2211868969,73265477,Hovedstaden,M
1605940855,36462218,Hovedstaden,M
0703398930,75806028,Sjælland,F
0111454381,88349270,Midtjylland,M
3110362368,45181478,Syddanmark,F
2807900943,49581976,Nordjylland,M
2901618517,62546313,Midtjylland,M
2704672488,47008067,Syddanmark,F
1202816879,81211311,Hovedstaden,M
1005340889,31945428,Midtjylland,M
1210843654,62375623,Syddanmark,F
2904029537,72547418,Sjælland,M
1402814730,62955589,Nordjylland,F
2401862567,36853324,Nordjylland,M
3103906932,43063162,Syddanmark,F
1908041972,66113959,Syddanmark,F
1204958305,94920752,Nordjylland,M
1307617514,91050970,Hovedstaden,F
1109313938,76469107,Midtjylland,F
0407954231,48090036,Syddanmark,M
2107830327,69183753,Midtjylland,M
0209028633,19293973,Syddanmark,M
0412311602,60071809,Hovedstaden,F
1102413387,72690560,Nordjylland,M
0503474325,31036184,Sjælland,M
1506815954,25930297,Nordjylland,F
0110377538,23125214,Hovedstaden,F
2408878980,35160763,Syddanmark,F
2409585857,66511801,Midtjylland,M
2409438549,53856134,Hovedstaden,M
1005354255,87365790,Syddanmark,M
0609345730,93560035,Syddanmark,F
1302991599,21560017,Midtjylland,M
1505644927,51172011,Nordjylland,M
0709891181,32613320,Syddanmark,M
0508912509,45082937,Sjælland,M
2308570471,80887454,Nordjylland,M
0306531316,42658983,Hovedstaden,F
2508649412,39953496,Hovedstaden,F
2701358674,50320041,Syddanmark,F
0308469540,46953430,Midtjylland,F
2402643596,44285069,Midtjylland,F
0812592655,60360414,Hovedstaden,M
0709767771,90074762,Sjælland,M
2804853819,32852534,Syddanmark,M
2003047731,47466203,Hovedstaden,M
1805824895,41060888,Syddanmark,M
0701723285,12936219,Sjælland,M
1902973883,81380847,Sjælland,M
1512400692,29416393,Hovedstaden,F
1608829585,38005951,Midtjylland,M
1508674834,56736097,Midtjylland,F
1403053528,89398515,Nordjylland,F
1511805683,52398912,Hovedstaden,M
2307436468,89598955,Midtjylland,F
2312659637,29990825,Syddanmark,M
0201824440,92661944,Syddanmark,F
0601589436,32481405,Sjælland,F
2901761399,28501836,Syddanmark,M
2903526227,34001609,Syddanmark,M
1511675744,16039552,Nordjylland,F
1802324831,95506683,Sjælland,M
2107041827,82962106,Syddanmark,M
2411830840,90391552,Nordjylland,F
