SampleID,CPR,SampleDate,Host,Ct
6b87f917-0de2-46e3-9493-36ab72c8f4b0,2002355750,2021-12-20,Human,29
32426556-f3bc-4dae-ab9d-69307176d7a7,2410902325,2022-10-20,Human,40
3830ac27-2f3f-41f5-984a-0470d6a184e7,0502389504,2022-08-04,Human,34
5edbeb81-f0b9-41db-bec1-460ebfa8cc2a,2007522241,2021-03-19,Human,29
19ea0877-50ae-4969-b6b0-600ce0ce0900,0305504916,2021-08-21,Human,33
1da0d47c-3411-4cee-b698-cdab2c980d45,1202754888,2023-06-23,Human,40
fdd0534d-1986-470f-9fea-6ce941090ba1,2711377817,2022-02-05,Cow,37
d2a0f1d1-42f9-4f99-aa99-38148301013f,0211780795,2022-06-25,Human,33
94478565-ec28-4ed5-923b-91920d6d37ca,2509456195,2023-05-07,Mink,29
d4e26ca7-c7b1-4bff-978b-d8b99e533e8c,0908440467,2022-01-30,Cow,33
21fea731-2b87-447c-9357-11429ebf629b,2806598497,2020-11-10,Human,34
019f26db-42f8-4411-80c4-93bcc0999e40,2603442377,2022-11-22,Cow,34
8127b1bb-56ed-49ef-bf15-80f8adb0c440,2911748692,2021-07-31,Human,30
5d436b37-d763-4028-a274-1e84dd710f3d,0411608230,2023-08-15,Human,36
9fc06068-86b2-4d81-876c-757022c650df,0702825531,2023-02-05,Mink,37
38d6c69e-602e-46a8-9a89-b02a8106b21b,2701797816,2021-11-04,Human,34
0b3acbc9-3ddc-4c1b-9977-4271af8efaa6,2403754916,2021-03-09,Human,34
45dfeaf2-6498-4944-9eec-b658084baf17,2903044348,2022-04-25,Human,31
2f73e8c5-4f63-452a-9eea-ae2e0a7f5c4e,3011753692,2022-07-13,Human,37
f73c7109-d3e8-4e04-9146-6bed805447dd,1612683194,2023-01-11,Human,28
304698fb-6b13-4c93-8201-5edebf236485,3107682526,2022-08-11,Human,37
22aeeea2-f94b-43b1-9312-e1b499e11381,1606645378,2021-11-18,Human,40
b6173057-2fb0-4963-ac49-4b6ad7e2297a,1503933335,2020-10-29,Human,39
477ac5c9-379f-4d2c-8f05-e37d05e74ad3,3007816350,2020-12-24,Human,36
6cd9c37b-b6b0-4c51-80d1-9248eb678bda,0501522785,2021-02-08,Human,28
8c6b0676-4486-4dae-a880-eb279de5771a,1608423102,2023-07-02,Human,28
8a7a5a62-4b79-4363-9115-25ab7fefa5d4,0107672468,2022-12-06,Human,28
58335b52-32de-46ad-bebe-38a8bf7d94da,2006677281,2022-10-08,Human,34
0f101700-679d-47d5-8662-4cb1b5845b84,0510971519,2023-01-18,Human,35
0ae55e0d-4091-42dd-ae1f-71203952b886,1108302311,2023-05-11,Mink,38
292be9dd-389c-45be-a7f8-1ef6f234abbc,1305894405,2022-10-18,Mink,35
6f8024ad-c318-448d-98dc-94a6ef209cf2,2104698541,2022-02-17,Human,34
43be34e2-6296-4228-a55c-198b23c18c24,0609462351,2023-02-24,Human,39
650b7dc5-a1fe-4262-a7fb-89c18b145952,0204471686,2021-02-20,Human,27
ef08442b-f3c9-4481-a261-2fdd5f16eb41,3010313625,2022-08-06,Human,37
4d77a06a-aaff-4fa1-825b-86cf4c10205c,2607810568,2022-09-27,Mink,31
9d9d2c20-dad7-45fe-a5a6-20cc74e581d9,0705927764,2022-05-24,Human,33
7c087cac-14e3-4417-9fb6-cf16020663c4,1402289441,2023-03-23,Human,33
e238fe6c-83ad-4666-8611-105a9b5bc398,1211917832,2021-09-21,Human,29
2192731d-82b7-4a39-be4e-4d8bcb62d822,1306038954,2023-05-14,Human,39
d00e8154-1aec-40ee-a064-96d356bda286,0209535987,2023-02-16,Human,29
43f31775-8a68-47a9-b30e-0532bcf16052,1504436296,2023-04-12,Human,36
409926ea-b3bc-4328-87a2-4860e3612b58,2608743936,2022-08-04,Human,34
d09bd9fd-6200-4e69-ab83-a8262ac3f172,1011872701,2020-12-12,Human,35
1de89957-b693-4da9-8342-1743fefce496,1001937825,2022-07-05,Human,33
9ee25355-f65c-47ad-83f7-76cc36beb119,1404882932,2022-07-29,Human,40
1517056f-1456-47e0-a078-14d24556ccfa,1911925179,2022-12-07,Human,36
c286ac0a-ed4a-4f86-beec-7c32171ff071,2802335876,2021-08-15,Human,38
b802321d-ad1b-4071-8951-038ba403b7a9,2512047130,2021-12-11,Human,37
d48df9c8-bafd-4728-b295-ad0e8466a6f9,1202005441,2020-12-30,Human,35
813beb45-b2a9-440a-8c8c-d5c69ab5d2c4,0309046465,2020-10-03,Human,27
2bf9ea95-58ab-4dad-9221-a323454c8a4a,0407541958,2023-09-04,Human,37
c7038d22-1fa6-4a50-989c-c5cdf9ba0aba,0510860203,2021-03-07,Human,34
9018cb14-3276-47e5-871a-a0dc45297a1b,1102448890,2021-07-02,Human,34
8e2ccb95-0c2a-4ed5-8b86-c34b1f5c36a4,1207717191,2022-01-08,Human,40
c9e8aa29-f1da-4c76-b617-340a118d4d79,1103558110,2022-08-30,Human,30
4828595e-8f5c-4f08-8da8-ccc37160a311,2107870320,2023-09-22,Human,35
f3d7bcd0-45e8-4802-a504-350816578bf3,1005485130,2022-05-22,Human,31
b005ce0c-bfa4-45a5-b338-bed98912f17e,2811767917,2021-03-30,Human,32
8ac333c0-948a-4615-b77b-71de8b1210a8,2002774333,2022-01-03,Mink,29
210a6874-841b-482c-9182-fd290f0d01ed,1903489920,2021-01-14,Mink,37
19ec6f73-7d2e-4740-ba54-9f126d6d817e,0408763692,2022-12-18,Human,39
e73df1b6-925a-4ca8-a290-67ca8decedb0,2605479669,2023-03-16,Human,32
0dcae4d5-f783-4594-8311-c9d6cee0dd84,1503466904,2021-07-04,Human,30
f886f163-e856-4311-b773-26234651b90b,0311899731,2022-09-20,Human,40
d43b4bc9-3154-483f-af3c-7a90efded4ce,1711577607,2022-12-14,Cow,38
1f7fd2b1-83a7-4985-98f9-bf02ba4fd51c,0207355529,2021-10-22,Mink,40
4345f45f-2822-4a5a-b810-de206d838f1d,1312610906,2023-01-30,Human,31
d748ddc1-a64f-4ac6-aede-ab5036c11ce6,0106317734,2023-08-02,Mink,39
da06a9df-41fc-4e6f-9f2c-508721c9f703,2901438683,2023-01-02,Human,28
f5de8c38-5b14-4156-a479-2d304a2943c0,1404348668,2022-01-27,Human,40
22709686-ab0b-440a-a865-a4d331dbfd6c,2507336253,2023-08-15,Human,30
4345883e-1ea3-4201-bf9c-ece641d58e6a,1709761431,2022-03-03,Human,33
3a2ed214-503a-451b-a21f-e667c276ebfd,1810494300,2023-07-17,Cow,37
032db163-5140-45da-9da6-cde87dddb176,0209921915,2023-01-19,Mink,37
3f0fc09a-e817-4f9c-aad8-7d26614cabdd,1504621885,2022-03-09,Cow,34
b67eb607-1bb3-4fab-9897-9ebdfb46c5cc,0310668261,2021-09-24,Human,35
50717128-fbea-400e-9302-11cb4643e4ef,1206613254,2023-07-04,Mink,40
7773d4bc-5d2e-4ad2-9d7d-d90cdd14fdb6,2007366836,2023-02-23,Human,30
b03320cf-713e-4986-8709-4b0389999aac,2210714169,2022-10-22,Human,35
8261081d-c066-4ffc-9939-fc225e06fce2,1905026912,2021-09-14,Mink,36
ae2aedaf-84da-464e-a66b-98f87c27bf5c,2911635921,2021-05-15,Cow,29
e7fee460-feac-44af-b78d-e0acff6b134f,1108443752,2021-12-01,Human,27
728b4f8e-d29e-4f6a-9aa9-99d69f6a5854,2508560975,2021-03-08,Mink,32
7519918b-9326-426f-85d6-4ff58b852030,1404811778,2022-01-21,Cow,39
4d2b5697-1bb9-45bc-b14b-b413389cc410,0207505975,2023-07-21,Human,40
74ccb325-807a-45e4-9e06-8b5d13ddcdf7,0912475166,2022-05-13,Mink,34
ec727e7e-cb12-4c81-955a-07519c32a826,1512618622,2021-01-10,Mink,31
730941aa-2cd3-48ea-847f-aaecd010f8d2,0407624761,2021-02-02,Human,30
3e4445a2-5395-4d3d-8397-0800c690c7ef,2410661168,2022-06-08,Mink,27
f807d2c7-025d-42c9-8a83-26c6a5518bc3,2102779510,2023-06-20,Human,28
75533814-0a50-48a8-83a7-473feb658324,2501917680,2021-08-18,Human,40
3d43fad4-a7da-46a2-837b-3879bd80d304,0308408474,2022-05-30,Human,35
e10c9728-1b02-4d6f-b31a-26aa5ab419e0,2912753160,2023-04-26,Human,33
48ce2ae3-ffb2-434c-b19c-72a2843a3602,1711643278,2021-10-05,Human,37
eb0c1f51-0418-42ec-a93b-25f9d20a6468,0710612908,2023-05-13,Human,34
fa2dcc99-f50a-47b6-ae50-160983e233c1,1710620173,2022-07-31,Human,29
24b6486d-3e7d-4040-bc9c-40df8df2b940,0609822742,2021-06-11,Human,39
489843eb-de6e-4327-9466-6df5e1ced60e,2306041425,2020-11-10,Human,40
3b47306e-1a1b-4059-a7eb-af2c002cd867,2908591341,2020-12-12,Human,28
8e99a85c-d6b4-47ae-aab8-55a66697803d,1608338337,2021-10-30,Cow,27
fe436863-6529-4f1b-ac84-163e21ad767a,0207740676,2021-08-05,Human,36
fb76ef80-73c2-424f-a346-874e80e91357,2109439298,2021-06-22,Mink,35
7b868035-6006-4292-b3ca-22e9939ecbab,3004454873,2022-06-05,Human,30
e5522951-0448-4a67-b1fc-508d060c76e2,0601675418,2023-08-23,Human,29
6b0c02b8-cdc1-43f2-829b-e10dfbe00a8f,2001353934,2021-08-15,Cow,36
a3d88071-a71f-4260-b078-166a97b9f100,0712760681,2022-08-04,Human,27
5467e646-cfd5-4670-981b-756367329508,0908587610,2022-06-18,Human,28
d5cdffaa-64a2-4282-88c3-a18e284e5e28,2704862818,2021-09-10,Human,29
dfa4c3af-3197-4ca7-a5c2-782a0aa00c46,1605019889,2022-06-01,Human,28
021e2fe5-ed35-4347-8c65-8191b1c14cb1,1609853881,2021-06-09,Human,35
10c9254b-d6ba-4313-b113-b48119263379,2806004891,2021-03-01,Mink,28
5a4ef114-f5d3-4838-92d3-93d7452acb25,3108368769,2022-02-14,Mink,33
e8855bee-2170-473e-967c-7553898928b1,1601630823,2022-02-09,Human,38
23fbd8c1-a292-4555-bf2c-0d6946334d1a,0503887491,2022-07-01,Mink,33
45bd1f39-a2a5-49e6-8c92-fb7009bafb89,1307426337,2022-02-11,Human,27
f9b0c724-52cf-4dc4-8a34-c6fc4f477086,1806652909,2023-02-14,Human,38
0929057b-91e6-4061-8288-c56db951007c,0810601829,2023-01-23,Cow,35
50aeaf41-827a-4540-89b7-ff1c4bb995e2,1407627193,2022-09-11,Mink,36
d1b13a5e-9bf3-40af-bc54-324d399f7285,2303653942,2022-02-19,Cow,39
c5cd7c46-94b7-43ff-ab78-6b93df1b715d,0212798818,2023-05-15,Human,32
79822552-1c81-4b20-afc9-2b3e5071b37b,1404849735,2023-08-13,Human,36
17f7fd41-3c4a-4621-8ad2-951d05648a20,2008762845,2023-01-12,Human,28
74cea24d-8adb-40e3-b9b0-c6b6fd98d37d,2212813683,2021-06-08,Human,29
334d5cb0-f5bc-4b60-a412-18d7653944b2,3001961238,2021-01-26,Human,37
94acb84c-9a6f-4d67-b343-db1b63075a4f,0602713561,2021-05-11,Human,35
7a02ee74-6bd0-4a51-a584-1aacea7d74d5,2509602738,2022-09-08,Human,31
3f8d0c92-a6a2-4c0b-bef9-b83621aac06e,0407032253,2021-08-12,Human,39
e53da0f7-a976-4c4a-a69b-74ba7a2ca976,2012411888,2023-01-16,Human,36
64c223c2-c552-4110-9dae-be7f0706962a,2901974120,2021-03-25,Human,38
c248e8b7-671f-4890-9a02-035ede285e92,1904693700,2021-05-03,Human,33
164bdba4-836f-46b2-ab9d-5d5ec8efed07,2304874318,2023-05-21,Human,30
7579ed4f-4931-41c0-a468-f767da91f2c7,1810993982,2021-10-03,Human,34
08fa86b4-e116-4a16-9a37-51c9cdfb7919,0309987400,2023-05-26,Human,28
37372403-06ac-4877-9ed2-9db0c8401321,1606630423,2023-03-03,Human,30
e18fce08-e440-4c4f-8fd5-864679885ffc,0310285279,2023-05-26,Human,27
b3943166-3e17-4871-9155-7c3a7e9ad921,2311529405,2023-08-14,Mink,31
6b8d2b3a-82c2-4242-bf34-1d2da9e3ecc7,1908289307,2021-02-16,Human,29
d50d70ec-112d-46a4-80d9-61447e59a93f,1501825181,2023-02-19,Cow,28
730ab939-f1dc-4563-bf36-93161de3545a,1506379382,2021-02-07,Human,29
a47afa41-3329-4ac2-a4ed-712344404ac2,2204643640,2021-09-26,Human,30
ae35db2a-a7c7-45d8-932c-b129783e72af,2004720522,2021-11-29,Human,36
1ba9dd15-d798-4f30-a435-2d6f3374a876,1604323685,2022-07-12,Cow,28
43ca42ee-f6ac-4d3b-92d3-850db69e7a4e,1312008478,2023-07-07,Human,31
f554b057-a913-4b87-891d-8ef95abf5866,0208695717,2021-09-28,Mink,34
4236e19f-c0f2-4aa6-92f8-2afc961da390,1705697935,2022-09-07,Human,39
8004f35f-58ec-42a0-adde-537790eda0bc,1303589989,2021-08-06,Human,30
4c44f88c-beb0-4db0-9a70-214aabbd1cd6,1509043162,2023-05-13,Human,27
fb662d65-3a07-46d5-9324-30b5ea7a944e,2008613512,2020-11-01,Human,34
a5437aaa-044e-46d9-bfc3-0cd16427f4f4,2909894510,2021-05-03,Human,37
0fd72ed8-721f-4de2-a8ef-0127def7d1c6,1404650446,2023-04-03,Human,30
2cd34cf4-c710-4fd4-b22d-8d2741ee147c,2307008746,2023-01-15,Mink,39
c325c724-1b62-41de-a99d-cefa4f98f432,2901637604,2021-07-25,Human,33
22a0a9d1-b91b-4e69-8e42-cabd13210b79,3101904807,2021-03-12,Human,38
59f28223-9bea-4adc-9530-23e29a465102,0605885681,2021-02-02,Human,33
dd8236bf-fbdc-43e2-9e31-a9ae6ca9537d,0806291272,2023-09-20,Human,37
7d444b97-2675-4177-a2b2-76c3b8dcbafe,0202481706,2023-05-27,Human,33
6c455000-29f0-4303-a26d-bd521f6d6335,0912870421,2022-09-17,Human,29
500091cb-b478-40ce-8339-d687546ca14b,0303552650,2021-08-28,Human,32
fa8e55f6-7d0e-4a00-8ea0-1ab63a98a8ca,1012837777,2023-02-18,Cow,32
e2d16f2a-6418-4956-a18c-8b0ab039cd6a,2307660555,2022-01-27,Human,27
acc2ac57-9864-40f0-b0bd-f6f518f71e7e,1705653883,2023-04-13,Mink,30
722c8388-e7dc-4c9d-807e-43559f9bcf0e,0709980961,2023-09-13,Cow,33
86dba1c9-e2af-4294-98d2-f8bb5649ab53,3112459723,2023-02-24,Human,33
d9e790d9-e6b5-4b44-8ffa-05037e9d4652,1401991783,2023-09-11,Human,27
ec42c69e-b37f-48b2-bcb1-30b0a3eada17,0908983786,2022-11-13,Human,33
6175b26b-ad8b-4607-82f1-7fe81afe6438,3003503918,2021-09-28,Human,28
b5779ec6-d181-4e03-9634-d08f5fc01fe9,2305906150,2022-06-22,Mink,32
5c502782-c3ef-47ea-8f8f-e8a7d2a70262,2910284773,2021-10-20,Human,31
d337ee36-5bca-4438-a1fa-b30e84595369,1404719849,2023-04-03,Human,31
4323fba0-00fb-44d7-92b7-dcb5e986b98c,2305957893,2022-07-29,Mink,40
ea8c0596-cdf1-49ad-af77-5aea259547d6,1903921706,2023-06-08,Human,31
c962f548-ba3c-4f7d-ab39-10f4aa819ecd,2001796542,2022-04-13,Human,31
4fdd6ef4-a745-4ba9-a0a3-198ebd678480,1004776993,2021-02-06,Human,40
edbb689b-449c-4c15-ad98-df913fca985b,2605856655,2022-01-21,Human,38
78da9eae-d3e9-433b-9139-d716df2d4508,0104554142,2021-06-02,Human,39
